Paese;Zip/Postal Code From;Zip/Postal Code To;Weight From;Weight To;Prezzo Spedizione;
IT;;;0.0000;0.0090;0.0000;
IT;;;0.0100;0.3000;9.5000;
IT;;;0.3100;5.000;14.5000;
IT;;;5.100;10.000;18.5000;
IT;;;10.100;20.000;24.0000;
IT;;;20.100;30.000;29.5000;
IT;;;30.100;40.000;35.0000;
IT;;;40.100;60.000;40.0000;
IT;;;60.100;80.000;48.0000;
IT;;;80.100;100.000;55.0000;
IT;;;100.100;500000.00;200.0000;
IT;04020;04020;0.0000;0.0090;0.0000;
IT;04020;04020;0.0100;0.3000;24.5000;
IT;04020;04020;0.3100;5.000;29.5000;
IT;04020;04020;5.100;10.000;33.5000;
IT;04020;04020;10.100;20.000;39.0000;
IT;04020;04020;20.100;30.000;44.5000;
IT;04020;04020;30.100;40.000;50.0000;
IT;04020;04020;40.100;60.000;55.0000;
IT;04020;04020;60.100;80.000;63.0000;
IT;04020;04020;80.100;100.000;71.0000;
IT;04020;04020;100.100;500000.00;350.0000;
IT;04027;04027;0.0000;0.0090;0.0000;
IT;04027;04027;0.0100;0.3000;24.5000;
IT;04027;04027;0.3100;5.000;29.5000;
IT;04027;04027;5.100;10.000;33.5000;
IT;04027;04027;10.100;20.000;39.0000;
IT;04027;04027;20.100;30.000;44.5000;
IT;04027;04027;30.100;40.000;50.0000;
IT;04027;04027;40.100;60.000;55.0000;
IT;04027;04027;60.100;80.000;63.0000;
IT;04027;04027;80.100;100.000;71.0000;
IT;04027;04027;100.100;500000.00;350.0000;
IT;07010;07023;0.0000;0.0090;0.0000;
IT;07010;07023;0.0100;0.3000;16.5000;
IT;07010;07023;0.3100;5.000;21.5000;
IT;07010;07023;5.100;10.000;25.5000;
IT;07010;07023;10.100;20.000;31.0000;
IT;07010;07023;20.100;30.000;36.5000;
IT;07010;07023;30.100;40.000;42.0000;
IT;07010;07023;40.100;60.000;47.0000;
IT;07010;07023;60.100;80.000;55.0000;
IT;07010;07023;80.100;100.000;62.0000;
IT;07010;07023;100.100;500000.00;350.0000;
IT;07024;07024;0.0000;0.0090;0.0000;
IT;07024;07024;0.0100;0.3000;24.5000;
IT;07024;07024;0.3100;5.000;29.5000;
IT;07024;07024;5.100;10.000;33.5000;
IT;07024;07024;10.100;20.000;39.0000;
IT;07024;07024;20.100;30.000;44.5000;
IT;07024;07024;30.100;40.000;50.0000;
IT;07024;07024;40.100;60.000;55.0000;
IT;07024;07024;60.100;80.000;63.0000;
IT;07024;07024;80.100;100.000;71.0000;
IT;07024;07024;100.100;500000.00;350.0000;
IT;07025;07045;0.0000;0.0090;0.0000;
IT;07025;07045;0.0100;0.3000;16.5000;
IT;07025;07045;0.3100;5.000;21.5000;
IT;07025;07045;5.100;10.000;25.5000;
IT;07025;07045;10.100;20.000;31.0000;
IT;07025;07045;20.100;30.000;36.5000;
IT;07025;07045;30.100;40.000;42.0000;
IT;07025;07045;40.100;60.000;47.0000;
IT;07025;07045;60.100;80.000;55.0000;
IT;07025;07045;80.100;100.000;62.0000;
IT;07025;07045;100.100;500000.00;350.0000;
IT;07046;07046;0.0000;0.0090;0.0000;
IT;07046;07046;0.0100;0.3000;24.5000;
IT;07046;07046;0.3100;5.000;29.5000;
IT;07046;07046;5.100;10.000;33.5000;
IT;07046;07046;10.100;20.000;39.0000;
IT;07046;07046;20.100;30.000;44.5000;
IT;07046;07046;30.100;40.000;50.0000;
IT;07046;07046;40.100;60.000;55.0000;
IT;07046;07046;60.100;80.000;63.0000;
IT;07046;07046;80.100;100.000;71.0000;
IT;07046;07046;100.100;500000.00;350.0000;
IT;07047;07052;0.0000;0.0090;0.0000;
IT;07047;07052;0.0100;0.3000;16.5000;
IT;07047;07052;0.3100;5.000;21.5000;
IT;07047;07052;5.100;10.000;25.5000;
IT;07047;07052;10.100;20.000;31.0000;
